numero_proceso,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,servicio_administrativo_financiero,process_url,process_href,detail_status,detail_text
80-0022-LPU26,"Provisión de medicamentos para tratamientos de esclerosis, con logística incluida",Licitación Pública,25/09/2026 14:00 Hrs.,Publicado,80/000 - Dirección General de Administración - MS,310 - Ministerio de Salud,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl02$lnkNumeroProceso','')",NO_DIRECT_URL,
37/137-0739-CDI26,ADQUISICIÓN DE REPUESTOS PARA VEHÍCULOS OFICIALES,Contratación Directa,25/09/2026 16:00 Hrs.,Publicado,37/137 - ESCUADRÓN NÚCLEO AGUILARES,375 - Gendarmeria Nacional,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl03$lnkNumeroProceso','')",NO_DIRECT_URL,
101-0014-CDI26,Adquisición de Certificado Wildcard,Contratación Directa,25/09/2026 17:00 Hrs.,Publicado,101 - Departamento de Compras y Contrataciones,622 - Instituto Nacional de la Propiedad Industrial,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl04$lnkNumeroProceso','')",NO_DIRECT_URL,
38/37-1102-LPR26,CONTRATAR EL SERVICIO DE CONFECCION Y REPOSICION DE TOLDOS PARA EL ESTACIONAMIENTO DEL HNPB,Licitación Privada,28/09/2026 00:00 Hrs.,Publicado,38/37 - Hospital Naval Puerto Belgrano,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl05$lnkNumeroProceso','')",NO_DIRECT_URL,
84/99-0654-LPU26,SERVICIO DE LIMPIEZA HOSPITALARIA,Licitación Pública,28/09/2026 07:00 Hrs.,Publicado,84/99 - Hospital Militar Regional Mendoza,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl06$lnkNumeroProceso','')",NO_DIRECT_URL,
38/19-1035-LPR26,ESNN SERVICIO MANTENIMIENTO MATAFUEGOS,Licitación Privada,28/09/2026 07:00 Hrs.,Publicado,38/19 - División Contrataciones del Cuartel General del EMGA,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl07$lnkNumeroProceso','')",NO_DIRECT_URL,
84/48-1386-LPR26,ADQUISICIÓN DE REPUESTOS Y ACCESORIOS PARA VEHICULOS - 3ER TRIM AÑO 2026,Licitación Privada,28/09/2026 07:00 Hrs.,Publicado,84/48 - Batallón de Ingenieros Anfibios 121,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl08$lnkNumeroProceso','')",NO_DIRECT_URL,
38/27-1138-LPR26,"servicio de impresión de revista institucional ""DESEMBARCO""",Licitación Privada,28/09/2026 08:00 Hrs.,Publicado,38/27 - Agrupación Servicios de Cuartel,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl09$lnkNumeroProceso','')",NO_DIRECT_URL,
84/24-1352-LPR26,SERVICIO DE COLOCACIÓN Y CONFECCIÓN DE LETRAS EN COLUMNA DEL PATIO INTERIOR (PROMOCIÓN 157).,Licitación Privada,28/09/2026 08:00 Hrs.,Publicado,84/24 - Colegio Militar de la Nación - Compras y Contrataciones,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl10$lnkNumeroProceso','')",NO_DIRECT_URL,
84/77-0606-LPU26,SERVICIO DE ACTUALIZACIÓN Y MANTENIMIENTO DEL SISTEMA DE COMANDO Y CONTROL SITEA,Licitación Pública,28/09/2026 08:00 Hrs.,Publicado,84/77 - Departamento Contaduría y Finanzas (EMGE),374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl11$lnkNumeroProceso','')",NO_DIRECT_URL,
